description,price_$,decade,tag,cat
Aerosmith and Cheap Trick American World Music Festival Shirt,200.0,1970,Aerosmith,Music
Abba Atlantic Records Promo Shirt,600.0,1970,,
Wild Cherry I Love My Music Promo Shirt,200.0,1970,,
Tower Of Power We Came To Play Promo Shirt,125.0,1970,,
Third World Island Records Promo Shirt,500.0,1970,,
The Rutles Warner Brothers Promo Shirt,150.0,1970,,
The Police Outlandos d'Amour Shirt,400.0,1970,,
Summer Rock II Arrowhead Stadium Kansas City Shirt,200.0,1970,,
Sammy Hagar Cow Palace New Years Eve Concert Shirt,235.0,1970,,
Rolling Stones World Wide Tour Shirt,400.0,1970,Rolling Stones,Music
Rolling Stones World Tour Shirt,400.0,1970,Rolling Stones,Music
Rolling Stones Tour Of North America Shirt,400.0,1970,Rolling Stones,Music
Rolling Stones Some Girls Chicago Crew Concert Shirt,1.0,1970,Rolling Stones,Music
Rolling Stones New Orleans Tour Shirt,600.0,1970,Rolling Stones,Music
Rolling Stones In Concert Shirt,300.0,1970,Rolling Stones,Music
Rolling Stones Happy Birthday Mick Concert Tie Dye Shirt,1.25,1970,Rolling Stones,Music
Rolling Stones Happy Birthday Mic Concert Jersey Shirt,1.0,1970,Rolling Stones,Music
Rod Stewart Blondes Have More Fun Shirt,250.0,1970,,
Record Factory Shirt,500.0,1970,,
New York Yankees World Series Champs Shirt,150.0,1970,,
Nazareth KMET Los Angeles Concert Shirt,200.0,1970,,
Moody Blues Live In Concert Shirt,125.0,1970,,
Molly Hatchet Shirt,100.0,1970,,
Lynyrd Skynyrd One More From The Road Promo Shirt,350.0,1970,,
Kiss Shirt,250.0,1970,Kiss,Music
Jethro Tull Bursting Out Tour Shirt,85.0,1970,,
Jefferson Starship Earth Shirt,125.0,1970,,
Jefferson Starship Earth Shirt,100.0,1970,,
Indian Motorcycles 7th Annual Come Home Rally Shirt,125.0,1970,,
Grateful Dead Stop Nuclear Power No Nukes Shirt,600.0,1970,Grateful Dead,Music
Grateful Dead New Year's Eve Winterland Concert Shirt,500.0,1970,Grateful Dead,Music
Grateful Dead Egypt Crew Tour Shirt,1.2,1970,Grateful Dead,Music
Grateful Dead Bertha Shirt,250.0,1970,Grateful Dead,Music
Fleetwood Mac Rugby Crew Shirt,400.0,1970,Fleetwood Mac,Music
Doctor Costume Kefzol Shirt,100.0,1970,,
